Unnamed: 0;fecha;HORA declarada;Ruta;Operador;flight_no;route;ac_type;registration;cn_ln;all_aboard;PASAJEROS A BORDO;crew_aboard;cantidad de fallecidos;passenger_fatalities;crew_fatalities;ground;summary;Lugar_Despegue
102;1925-09-03;0530;Caldwell, Ohio;Military - U.S. Navy;flight no Definida;Lakehurst, NJ - S.t Louis, MO;Dirigible ZR-1 Shenandoah (airship);ZR-1;cn_ln no Definida;43;0;43;14;0;14;0;The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart.;Lakehurst, NJ 
104;1925-10-01;?;Mt. Nittany, Ohio;US Aerial Mail Service;flight no Definida;New York - San Francisco;De Havilland DH-4;385;cn_ln no Definida;1;0;1;1;0;1;0;Crashed into a wooded area on Mt. Nittany in fog and low visibility.;New York 
113;1926-08-18;?;Hurst, Kent, England;Air Union;flight no Definida;Lebourget, France - Croydon, England;Bleriot 155;F-AIEB;2;15;13;2;3;2;1;0;The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.;Lebourget, France 
118;1926-11-11;0800;Cape Bojador, Morocco;Grands Express Aeriens;flight no Definida;Casablanca -Dakar;Breguet 14;F-AFAX;198;3;3;0;3;3;0;0;While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed.;Casablanca 
120;1927-01-12;?;Estaires, France;Fokker;flight no Definida;Delivery flight;Fokker F-VII;G-EBPL;4938;0;0;2;0;0;2;0;The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off.;Delivery flight
122;1927-03-24;?;Tambo, Qld, Australia;Qantas;flight no Definida;Charleville - Tambo - Blackall;de Havilland DH-9C;G-AUED;86;3;2;1;3;2;1;0;While attempting to land, the engine failed, the aircraft stalled and crashed.;Charleville 
127;1927-07-27;?;Amoneburg, Germany;Deutsche Lufthansa;flight no Definida;Kassel - Frankfurt;Junkers F-13;D-206;591;5;3;2;5;3;2;0;Crashed after experiencing engine failure and attempting to make a forced landing.;Kassel 
130;1927-09-17;?;Hadley, New Jersey;Reynolds Airways;flight no Definida;Sightseeing;Fokker F-VII;NC776;4840;12;11;1;7;6;1;0;The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.;Sightseeing
131;1927-09-17;0405;Atlantic Ocean;Private;flight no Definida;Old Orchad Beach - Rome;Fokker F7;NX703;4899/0501;3;1;2;3;1;2;0;While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight.;Old Orchad Beach 
132;1927-09-23;10:00;Schleiz, Germany;Deutsche Lufthansa;flight no Definida;Berlin - Munich;Dornier Merkur;D-585;075;6;4;2;6;4;2;0;From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.;Berlin 
133;1927-10-06;?;Thies, Mauritania;Lignes Aeriennes Latecoere;flight no Definida;Saint Louis - Dakar;Breguet 14;F-AGBN;229;2;0;2;2;0;2;0;The plane crashed while attempting to land at Dakar.;Saint Louis 
136;1927-11-16;?;Over the Gulf of Finland;Aero O-Y;flight no Definida;Tallinn - Helsinki;Junkers F-13;K-SALD;798;6;4;2;6;4;2;0;Crashed in the gulf of Finland and never found.;Tallinn 
138;1927-12-28;?;Almeria, Spain;Aeropostale;flight no Definida;Dakar - Casablanca - Alicante - Perpignan - Toulouse;Breguet 14;F-AFGS;227;1;0;1;1;0;1;0;A fire erupted aboard the mail plane while en route and crashed.;Dakar 
140;1928-01-08;?;Near Canajoharie, New York;Colonial Western Airlines;flight no Definida;Minola - Albany - Buffalo;Fairchild FC-2;NC3780;39;3;1;2;3;1;2;0;Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo..;Minola 
141;1928-01-16;?;Solis, Uruguay;Aeropostale;F-AIKG;Buenos Aires - Montevideo;Latecoere 25;F-AIKG;633;2;0;2;2;0;2;0;The wing on the mail plane detached from the aircraft and crashed into the sea.;Buenos Aires 
148;1928-04-19;?;Minuesa, Spain;Iberia Airlines;flight no Definida;Barcelona - Madrid;Rohrbach Roland;M-CCCC;36;9;7;2;9;7;2;0;Crashed into a field after getting lost in fog.;Barcelona 
150;1928-05-12;?;Dearborn, Minnesota;Ford Air Freight Inc.;flight no Definida;Dearborn - Buffalo;Ford 4;NC1492;4-AT-001;2;0;2;2;0;2;0;The cargo plane crashed on it’s inaugural flight. The pilot tried to become airborne without sufficient speed.;Dearborn 
151;1928-05-26;?;Radevormwald, Germany;Deutsche Lufthansa;flight no Definida;Essen - Dortmund - Frankfurt;Junkers F-13;D-583;742;5;4;1;3;2;1;0;After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error.;Essen 
153;1928-06-22;?;Lebo, Kansas;National Air Transport;flight no Definida;Chicago - Dallas;Douglas M-4;NC1059;628;1;0;1;1;0;1;0;The mail plane flew into tornado like winds and crashed in a field.;Chicago 
155;1928-07-13;?;Purley, England;Imperial Airways;flight no Definida;Testing;Vickers 74 Vulcan;G-EBLB;9;6;5;1;4;4;0;0;After the aircraft had climbed to 800 feet it disappeared from view of the airport in a south-west direction. The aircraft crashed into a market garden near Leigh Cottage on Woodcote Road, it was seen by residents flying low over the roof tops with the engine evidently in difficulties. The aircraft crashed into a potato field, the pilot in an open cockpit clambered clear and helped one of the passengers from the enclosed cabin free. The aircraft burst into flames and it was not possible to rescue the other passengers.;Testing
156;1928-07-24;14:48;Waalhaven, Netherlands;KLM Royal Dutch Airlines;flight no Definida;Sightseeing over Rotterdam;Fokker (KLM) F.III;H-NABR;1533 (KLM-1);6;5;1;1;1;0;0;The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven.;Sightseeing over Rotterdam
157;1928-08-25;c 11:00;Near Port Townsend, BC, Canada;British Columbia Airways;flight no Definida;Victoria - Seattle;Ford 4-AT-B Tri Motor;G-CATX;4-AT-26;7;5;2;7;5;2;0;Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.;Victoria 
158;1928-09-02;c 9:15;Toul, France;CIDNA;flight no Definida;Toul - Clermont-Ferrand;Bleriot Spad 33;F-AIEP;5/4207;5;2;3;5;2;3;0;After taking off the engine failed, the plane stalled and crashed.;Toul 
159;1928-09-04;?;Adelaide Hills, Australia;Qantas;flight no Definida;Adelaide - Longreach;de Havilland DH.50J;G-AUHI;5;2;0;2;1;0;1;0;"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft encounted bad weather, crashed and caught fire.";Adelaide 
160;1928-09-04;11:30;Pocatello, Idaho;National Parks Airways;flight no Definida;Great Falls - Pocatello - Salt Lake City;Fokker Super Universal;NC7242;809;7;6;1;7;6;1;0;While flying low and circling six times for a landing, the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground, rolling over several times.;Great Falls 
165;1928-11-15;?;Off Gibraltar;Aeropostale;flight no Definida;Marseille - Palma de Majorca;Latecoere 32;F-AISN;80;3;0;3;1;0;1;0;The sea plane stuck a lightning mast and crashed into houses. Pilot error.;Marseille 
166;1928-11-24;?;Edgerton, Ohio;Universal Airlines;flight no Definida;Cleveland - Chicago;Hamilton H-47;NC7521;46;3;2;1;3;2;1;0;The mail plane crashed in a heavy snow storm.;Cleveland 
169;1928-12-01;c 10:00;Spur, Texas;Sunbeam Air Transport Co.;flight no Definida;San Antonio - Amarillo - Tulsa - Denver;Ford 4-AT-B Tri Motor;NC7862;4-AT-47;5;4;1;5;4;1;0;The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed. The plane was on a delivery flight.;San Antonio 
171;1928-12-10;10:45;Spokan, Washington;Spokane Airways;flight no Definida;Colfax - Spokane;Ford Tri-motor 4;NC7687;4-AT-045;5;3;2;5;3;2;0;The aircraft crashed while attempting to land in fog.;Colfax 
172;1928-12-11;?;Letzlingen, Germany;Deutsche Lufthansa;flight no Definida;Cologne -  Berlin;Junkers G-31;D-1473;3005;4;1;3;3;0;3;0;After a fuel line broke in flight, the pilot was forced to make an emergency landing in an open field. On landing, the aircraft crashed, overturned and came to rest in flames.;Cologne 
177;1929-01-18;?;Cove, Oregon;Varney Air Lines;flight no Definida;Boise, ID - Pasco, WA;Stearman C-38;NC1682;102;1;0;1;1;0;1;0;While attempting to make an emergency landing on the Minam river the mail plane hit a bolder killing the pilot.;Boise, ID 
178;1929-01-25;?;Near Corfu, Greece;Aeroespresso;flight no Definida;Brindisi - Athens - Istanbul;CMASA Wal;I-AZDA;053;9;7;2;2;7;2;0;The passenger plane diverted off Kerkira in the Ionian Sea due to poor weather conditions and thunderstoms and sank in rough seas.;Brindisi 
179;1929-01-31;?;Off Morocco;Aeropostale;flight no Definida;Agadir - Casablanca;Latecoere 26;"F-AIMUF-AIMU";674;2;0;2;2;0;2;0;While cruising along the coast, the mail plane crashed into the Atlantic Ocean for unknown reasons.;Agadir 
182;1929-03-30;09:18;Near Beaumont, California;New Standard Airlines;flight no Definida;Los Angeles - Phoenix - El Paso;Fokker F-VIIA;NC7888;617;4;3;1;4;3;1;0;The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.;Los Angeles 
183;1929-04-21;1145;San Diego, California;Maddux Airlines / Military - U.S.Army Air Force;flight no Definida;San Diego - Phoenix;Ford 5-AT-B Tri-Motor / B-PW-9D;NC9636 / 28-037;4-AT-010;6;3;3;6;3;3;0;A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent.;San Diego 
184;1929-05-09;?;Tampico, Mexico;Mexicana;flight no Definida;Tampico - Brownsville, TX;Ford Tri-motor 4;M-SCAL;cn_ln no Definida;5;4;1;5;4;1;0;An engine failed, the plane stalled and crashed.;Tampico 
186;1929-05-22;?;Algiers;Aeropostale;flight no Definida;Algiers - Marseille;Cams 53;F-AISX;07;6;3;3;4;3;2;0;The plane collided with a submerged object while taking off.;Algiers 
187;1929-06-13;0800;Santiago de Cuba, Cuba;Pan American Airways;flight no Definida;Santiago de Cuba - Havana;Fokker F-X;NC9700;1010;5;1;4;2;1;1;0;"Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed. The plane was named ""Christopher Columbus"".";Santiago de Cuba 
188;1929-06-14;?;Barcelona, Spain;Aeropostale;flight no Definida;Janeiro - Buenos Aires;Breguet 14;F-AFEJ;217;2;0;2;1;0;1;0;Took off, lost power and altitude and crashed into a telegraph tower.;Janeiro 
190;1929-06-24;?;St. Paul, Minnesota;Northwest Orient Airlines;flight no Definida;St. Paul - Minneapolis;Ford 5-AT-B Tri-Motor;NC7416;5-AT-002;8;6;2;1;0;1;0;All three engines failed shortly after takeoff causing the plane to stall and crash near Indian Mounds park.;St. Paul 
195;1929-08-24;?;Elm, Germany;Deutsche Lufthansa;flight no Definida;Frankfurt - Berlin;Fokker FG II;D-757;1571;5;4;1;4;3;1;0;The aorcraft hit a hill in fog and poor visibility.;Frankfurt 
197;1929-09-03;1101;Mt. Taylor, near Grants, New Mexico;Trans Continental Air Transport;flight no Definida;Albuquerque - Los Angeles;Ford 5-AT-B Tri Motor;NC9649;5-AT-002;8;5;3;8;5;3;0;"Shortly after departing the aircraft crashed into a Mt Taylor after encountering a thunderstorm and turbulence. The plane was named ""The City of San Francisco.""";Albuquerque 
198;1929-09-06;?;Jask, Iran;Imperial Airways;flight no Definida;London, England - India;de Havilland DH-66 Hercules;G-EBMZ;239;5;2;3;3;1;2;0;At night, the aircraft crashed short of the runway in low visibility.;London, England 
199;1929-09-14;?;North Atlantic Ocean;Aeropostale;flight no Definida;Toulouse, France - Casablanca, Morocco;Latecoere 25;F-AIUJ;704;6;4;2;6;4;2;0;Crashed at sea, 30 miles from Larache, Morocco for unknown reasons.;Toulouse, France 
203;1929-09-17;?;Jacumba, California;Pickwick Airways;flight no Definida;Tijuana - Nogales;Fairchild 71;Placa de Avion no Definida;cn_ln no Definida;2;0;2;1;0;1;0;The mail plane crashed into a hillside in the desert while attempting to make an emergency landing during a storm.;Tijuana 
204;1929-10-26;1800;Off Spezia, Italy;Imperial Airways;flight no Definida;Naples - Genoa;Short Calcutta (flying boat);G-AADN;S748;7;5;2;7;5;2;0;"The aircraft ditched in the ocean after encountering gale force winds. Sank while in tow. The plane was named ""City of Rome.""";Naples 
206;1929-10-31;?;Off Bremerton, Washington;Bremerton-Seattle Air Taxi / Gorst Air Lines;flight no Definida;Bremerton - Seattle;Loening C-2C;NC9158;232;2;0;2;2;0;2;0;The air taxi crashed into Puget Sound as it attempted to take off.;Bremerton 
207;1929-11-04;0700;Cerro del Carbon, Mexico;Corp. Aeronautica de Transportes;flight no Definida;Matamoros - Mexico City - Juarez;Lockheed Vega 5;NC46M;097;4;3;1;4;3;1;0;The mail plane crashed in dense fog.;Matamoros 
208;1929-11-06;1010;Near Godstone, Surrey, England;Deutsche Lufthansa;flight no Definida;Croyden - Amsterdam - Berlin;Junkers G-24;D-903;911;8;4;4;7;3;4;0;After the plane's antenna wire struck the ground and was partially torn off, the pilot attempted to return to land but hit tree tops and crashed in rain and fog.;Croyden 
210;1929-11-20;?;Terranova Pausania, East Sardinia;S.A.M. Società Aerea Mediterranea;flight no Definida;Cagliari, Terranova - Rome;Savoia Marchetti S55;I-TACO;10519;12;9;3;1;1;0;0;The plane crashed due to  an optical phenomenon caused by calm waters and an erroneous height assessment.;Cagliari, Terranova 
214;1929-12-30;c 17:00;Amarillo, Texas;Trans Continental Air Transport;flight no Definida;Demonistration;Travel Air B6000;Placa de Avion no Definida;cn_ln no Definida;5;3;2;5;3;2;0;Crashed onto a golf course  while on approach during a demonstration flight.;Demonistration
216;1930-01-13;?;Antananarivo, Madagascar;Air Orient;flight no Definida;Antananarivo - Paris;Farman 190;F-AJJK;1;3;0;3;3;0;3;0;Crrashed moments after taking off from Port-Francqui.;Antananarivo 
217;1930-01-19;18:23;Oceanside, California;Maddux Airlines;7;Aqua Caliente, Mexico - Los Angeles;Ford 5-AT-C Tri Motor;NC9689;5-AT-046;16;14;2;16;14;2;0;While en route to Los Angeles, the pilot, flying a low altitude due to poor weather conditions tried to turn back. While in a left turn his left wing struck a hill, crashed and burned. Adverse weather conditions. The plane flew into a sudden squall which cause the pilot to lose control.;Aqua Caliente, Mexico 
219;1930-01-27;17:30;Kansas City, Missouri;Central  Airlines (Universal Aviation Corporation);flight no Definida;Wichita - Kansas City, KS;Travel Air A6000A;Placa de Avion no Definida;963;5;4;1;5;4;1;0;While preparing to land, the plane side slipped and dived into the ground from a height of 500 ft. and caught fire. As quickly as the bodies were removed, a hastily mustered crew of pilots and mechanics from Universal Airlines  and Central Airlines, began removing all evidence of the accident, savagely fighting off reporters and photographers as they worked.;Wichita 
220;1930-02-03;?;Hartford, Connecticut;Colonial Air Transport;flight no Definida;Newark, NJ - Hartford, CT;Pitcairn PA-6 Mailwing;NC801H;41;1;0;1;1;0;1;0;While attempting to land the plane struck a building and fell into the Connecticut river.;Newark, NJ 
222;1930-04-18;c:17:00;Jersey City, New Jersey;Canadian Colonial Airways;flight no Definida;Albany, NY - Jersey City, NJ;Fairchild 71;NC9148;634;4;3;1;4;3;1;0;Crashed into power lines 150 feet above the ground in fog.;Albany, NY 
224;1930-06-05;?;Boston, Massachusetts;Colonial Air Transport;flight no Definida;Boston - Newark;Ford Tri-Motor 5;NC9675;5-AT-033;15;13;2;1;1;0;0;Crashed into Boston Harbor after losing the right  engine on takeoff.;Boston 
225;1930-07-07;?;Bornholm, Denmark;Deutsche Lufthansa;flight no Definida;Stettin - Norway;Dornier Wal;D-864;44;8;5;3;5;4;1;0;The flying boat landed in a storm in the open ocean due to engine failure. After three hours, the plane was  capsized by a large wave while under tow.;Stettin 
226;1930-07-10;?;Arkansas Pass, Texas;Cross Airways;flight no Definida;Port Aransas - Kansas City;Lockheed Vega 5;NC-394H;087;5;4;1;5;4;1;0;The aircraft exploded in the air at an altitude of 4,000 feet shortly after taking off. The plane was flying in an area of fog and thunderstorms.;Port Aransas 
228;1930-08-22;c 15:45;Iglau, Czechoslovakia;Ceskoslovenske Aerolinie;flight no Definida;Prague - Bratislava;Ford 5-AT-C Tri Motor;OK-FOR;5-AT-050;11;10;1;10;9;1;0;Crashed when the pilot made a sharp turn to avoid a chimney and lost control of the aircraft.;Prague 
230;1930-09-25;?;Edmonton, Alberta, Canada;Western Canada Airways;flight no Definida;Calgary - Moosejaw;Boeing 40;CF-AIN;1165;3;2;1;3;2;1;0;The air mail plane crashed in fog  while attempting to land in fog.;Calgary 
231;1930-10-05;02:05;Near Beauvais, France;Military - British Air Ministry;flight no Definida;Cardington, England - Karachi, Pakistan;Royal Airship Works R-101;G-FAAW;R-101;54;0;0;48;0;0;0;The airship was on its inaugural flight from Cardington, England to Karachi, (Pakistan). During a storm on the first night, it suddenly nosedived, leveled briefly, then dived again crashing and burning. Preparations had been rushed for political reasons and there had been no full-speed test flight. In the wind and rain, the outer cover split open at the front so that the two forward gasbags ruptured simultaneously. Dropping ballast raised the nose, but only because there was also dynamic lift, which was promptly lost as speed was reduced, presumably to save the remaining gasbags.;Cardington, England 
236;1930-10-30;?;Near Neufchatel, France;Imperial Airways;flight no Definida;Paris, France - London, England;Handley Page W-8;G-EBIX;W8-7;6;3;3;3;2;1;0;"Crashed into high ground in fog after losing an engine. The plane was named ""City of Washington.""";Paris, France 
238;1930-11-07;?;Off of Santos, Brazil;Syndicato Condor;flight no Definida;Porto Alegre - Laguna - Rio de Janeiro;Junkers G-24;P-BAHA;921;9;8;1;1;1;0;0;Crashed into the sea.;Porto Alegre 
239;1930-11-18;c: 2:00;Techachapi Mountains, California;Pacific Air Transport;flight no Definida;Burbank, CA - Oakland, CA;Boeing 40;NC5340;cn_ln no Definida;3;0;3;3;0;3;0;Crashed into a mountainside at an altitude of 4,500  feet during a snowstorm.;Burbank, CA 
240;1930-12-09;?;Shanghai, China;China National Aviation Corporation;flight no Definida;Shanghai - Hankow;Loening C-W Air Yaht;Placa de Avion no Definida;cn_ln no Definida;6;4;2;4;2;2;0;"The lower right wing of the aircraft hit the mast of  a river boat and the plane flipped over on its back and  crashed onto a river bank. The aircraft was named ""Shanghai"".";Shanghai 
241;1931-01-08;2240;Melle, Belgium;Sabena;flight no Definida;Brussels - London;Fokker F-VII;OO-AIL;1930;2;0;2;2;0;2;0;After deciding to return to his base because of fog, the pilot of the mail plane  lowered his altitude and struck the ground.;Brussels 
242;1931-01-22;?;Bluff Mountain, Washington;Varney Air Lines;flight no Definida;Portland - Pasco;Boeing 40;NC741K;1422;1;0;1;1;0;1;0;The mail plane flew into Bluff Mountain in dense fog.;Portland 
243;1931-02-08;?;Wairoa, New Zealand;Dominion Air Lines;flight no Definida;Gisborne - Hastings;Desoutter II;ZK-ACA;D-36;3;2;1;3;2;1;0;While droping a mail bag the plane stalled and crashed.;Gisborne 
244;1931-02-20;?;Bagot, Manitoba, Canada;Western Canada Airways;flight no Definida;Winnigeg - Moosejaw;Fokker Universal F-14;Placa de Avion no Definida;cn_ln no Definida;3;2;1;2;2;0;0;The plane carrying mail, crashed into a field, turned over and burst into flames. There was heavy fog in the area of the accident.;Winnigeg 
245;1931-02-24;?;Off Spain;Aeropostale;flight no Definida;Algiers – Marseille;Latecoere 32;F-AITX;84;3;0;3;1;0;1;0;Crashed due to fuel exhaustion after encountering strong headwinds and getting lost.;Algiers – Marseille
246;1931-03-21;1300;New South Wales, Australia;Australian National Airways;flight no Definida;Sydney - Melbourne;Avro 10;VH-UMF;241;8;6;2;8;6;2;0;Crashed in the Snowy Mountains in poor weather conditions. Wreckage found 10/26/1958.;Sydney 
247;1931-03-31;1045;Bazaar, Kansas;Trans Continental and Western Air;599;Kansas City - Wichita -  Los Angeles;Fokker F10A Trimotor;NC-999;1063;8;6;2;8;6;2;0;Shortly after taking off from Kansas City, one of the aircraft's wing's separated in flight after penetrating a thunderstorm and experiencing strong turbulence and icing. The plane crashed into a wheat field. Wing-aileron flutter, brought about by moisture leaking into the wing's interior, weakening the glue that bonded the wooden spars. Notre Dame football coach, Knute Rockne, 43, killed.;Kansas City 
